ShotMarker Archived Data (generated Feb 11 2026)
Exported 26 strings from Feb 10 to Feb 19 of 2982 total in archive

Feb 19 2026,M1 R1 T11-E8,#11 (11-E8),2258 x 1721,ICFRA F-Class Long Range at 900m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,1:50.14 am,sighter/simulated,S1,5,16,14,70,2337,0.4,1.1,0.2,0,
,1:50.15 am,sighter/simulated,S2,V,16,21,-33,2445,-0.5,1.1,0.2,0,
,1:50.16 am,simulated,1,5,16,-72,-44,2526,0.5,1.1,0.2,0,
,1:50.17 am,simulated,2,5,17,-117,-16,2510,0.8,1.1,0.2,0,
,1:50.18 am,simulated,3,4,19,159,-50,2375,0.4,1.1,0.2,0,
,1:50.19 am,simulated,4,V,16,7,8,2438,0.8,1.1,0.6,0,
,1:50.20 am,simulated,5,3,15,255,77,2565,-0.7,1.1,0.2,0,
,1:50.21 am,simulated,6,V,16,-35,8,2605,0.8,1.1,0.2,0,
,1:50.22 am,simulated,7,4,19,-142,-57,2451,0.9,1.1,0.6,0,
,1:50.23 am,simulated,8,V,17,17,-61,2474,-0.4,1.1,0.6,0,
,1:50.24 am,simulated,9,5,17,66,109,2330,-0.8,1.1,0.6,0,
,1:50.25 am,simulated,10,4,16,-172,4,2351,-0.7,1.1,0.6,0.1,

Feb 11 2026,M7 R5 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,1:14.03 am,sighter/simulated,S1,X,18,15,1,2548,0.3,1.2,0.2,0,
,1:14.05 am,sighter/simulated,S2,X,16,-7,30,2616,-0.4,1.1,0.2,0,
,1:14.06 am,simulated,1,X,18,-35,13,2479,-0.9,1.1,0.2,0,
,1:14.06 am,simulated,2,X,20,-50,-4,2603,-0.9,1.1,0.2,0,
,1:14.07 am,simulated,3,X,16,-47,-2,2407,-0.7,1.2,0.2,0,
,1:14.08 am,simulated,4,X,19,-11,-12,2376,0,1.1,0.2,0,
,1:14.08 am,simulated,5,X,18,-10,-12,2346,-0.7,1.1,0.2,0,
,1:14.09 am,simulated,6,X,18,-10,-11,2380,0.3,1.1,0.2,0,
,1:14.10 am,simulated,7,X,17,-10,-10,2536,-0.6,1.1,0.2,0,
,1:14.12 am,simulated,8,X,18,-10,-9,2473,0.9,1.1,0.2,0,
,1:14.14 am,simulated,9,X,15,-10,-7,2571,0,1.1,0.2,0,
,1:14.16 am,simulated,10,X,19,-10,-6,2585,0.6,1.1,0.2,0,

Feb 11 2026,M7 R3 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,1:13.03 am,sighter/simulated,S1,X,16,-17,12,2567,0.3,1.2,0.2,0,
,1:13.04 am,sighter/simulated,S2,6,16,57,45,2328,0.3,1.1,0.2,0,
,1:13.06 am,simulated,1,X,17,43,-14,2300,-0.6,1.1,0.2,0,
,1:13.07 am,simulated,2,X,18,-25,-19,2440,0,1.2,0.2,0,
,1:13.08 am,simulated,3,6,16,106,-42,2344,0,1.1,0.2,0,
,1:13.09 am,simulated,4,6,16,-66,-21,2552,0.6,1.1,0.2,0,
,1:13.11 am,simulated,5,6,17,38,-73,2397,-0.2,1.1,0.2,0,
,1:13.12 am,simulated,6,6,18,-19,84,2624,0.1,1.1,0.2,0,
,1:13.13 am,simulated,7,X,20,14,-43,2560,-0.9,1.1,0.2,0,
,1:13.14 am,simulated,8,6,17,110,-27,2483,-1.1,1.1,0.2,0,
,1:13.16 am,simulated,9,X,15,-64,2,2437,-0.2,1.1,0.2,0,
,1:13.17 am,simulated,10,6,17,-77,7,2510,1.1,1.1,0.2,0,

Feb 11 2026,M7 R4 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,1:10.09 am,sighter/simulated,S1,X,20,30,48,2464,1,1.2,0.2,0,
,1:10.10 am,sighter/simulated,S2,6,15,-72,11,2404,1,1.2,0.2,0,
,1:10.12 am,simulated,1,6,16,42,-54,2425,0.5,1.2,0.2,0,
,1:10.14 am,simulated,2,X,19,-6,-64,2429,-1,1.1,0.2,0,
,1:10.14 am,simulated,3,6,18,91,23,2454,0.7,1.2,0.2,0,
,1:10.15 am,simulated,4,6,18,-31,89,2497,1,1.1,0.2,0,
,1:10.17 am,simulated,5,5,16,192,-7,2304,-0.9,1.2,0.2,0,
,1:10.18 am,simulated,6,X,20,27,26,2407,0.1,1.1,0.2,0,
,1:10.19 am,simulated,7,6,17,-100,-46,2497,0.1,1.2,0.2,0,
,1:10.20 am,simulated,8,6,19,-28,67,2316,0,1.1,0.2,0,
,1:10.21 am,simulated,9,6,20,-113,25,2319,-0.9,1.2,0.2,0,
,1:10.22 am,simulated,10,X,16,10,-32,2337,-0.4,1.1,0.2,0,

Feb 11 2026,M7 R1 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,1:03.44 am,sighter/simulated,S1,X,19,11,9,2555,0.3,1.1,0.2,0,
,1:03.46 am,sighter/simulated,S2,X,17,-21,19,2585,-1.1,1.2,0.2,0,
,1:03.47 am,simulated,1,X,17,-12,-27,2362,0.1,1.1,0.2,0,
,1:03.48 am,simulated,2,3,16,430,-50,2441,-0.9,1.1,0.2,0.1,
,1:03.49 am,simulated,3,X,16,57,-10,2419,0.9,1.1,0.2,0,
,1:03.50 am,simulated,4,X,18,12,57,2546,0.8,1.2,0.2,0,
,1:03.52 am,simulated,5,5,16,28,130,2561,-0.9,1.1,0.2,0,
,1:03.53 am,simulated,6,6,16,-114,57,2523,0.8,1.1,0.2,0,
,1:03.54 am,simulated,7,X,20,-12,-38,2416,0.5,1.1,0.2,0,
,1:03.55 am,simulated,8,5,19,125,101,2435,0.8,1.2,0.2,0,
,1:03.56 am,simulated,9,6,18,-123,43,2372,-1,1.1,0.2,0,
,1:03.57 am,simulated,10,6,16,-123,43,2448,-0.6,1.1,0.2,0,

Feb 10 2026,M1 R2 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,5:01.09 am,sighter/simulated,S1,X,16,31,-5,2410,-0.6,1.2,0.2,0,
,5:01.10 am,sighter/simulated,S2,6,15,-78,50,2542,-0.9,1.2,0.2,0,
,5:01.12 am,simulated,1,6,17,-78,-51,2415,0.7,1.2,0.2,0,
,5:01.13 am,simulated,2,6,15,4,102,2366,-0.4,1.1,0.2,0,
,5:01.14 am,simulated,3,3,17,530,39,2451,-1.1,1.1,0.2,0,
,5:01.15 am,simulated,4,4,17,-268,119,2483,0,1.2,0.2,0,
,5:01.16 am,simulated,5,4,20,209,-182,2574,-1,1.2,0.2,0,
,5:01.17 am,simulated,6,4,19,269,123,2336,-1.1,1.1,0.2,0.1,
,5:01.18 am,simulated,7,6,19,105,8,2457,0.2,1.1,0.2,0,
,5:01.20 am,simulated,8,6,20,-46,73,2327,-1.1,1.1,0.2,0,
,5:01.25 am,simulated,9,6,19,91,16,2405,-1,1.1,0.2,0,
,5:01.27 am,simulated,10,X,17,-21,-1,2475,-0.5,1.1,0.2,0,

Feb 10 2026,M2 R12 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:51.17 am,sighter/simulated,S1,4,19,200,267,2618,1,1.1,0.2,0,
,3:51.18 am,sighter/simulated,S2,4,17,-282,187,2425,0.8,1.2,0.2,0,
,3:51.19 am,simulated,1,5,17,-126,-180,2546,-1.1,1.1,0.2,0,
,3:51.20 am,simulated,2,4,18,306,-34,2511,-1.1,1.2,0.2,0,
,3:51.21 am,simulated,3,X,19,-20,-5,2480,0.3,1.1,0.2,0,
,3:52.15 am,simulated,4,5,19,-44,187,2363,0.8,1.1,0.2,0,
,3:52.19 am,simulated,5,X,18,46,19,2456,-0.7,1.1,0.2,0,
,3:52.20 am,simulated,6,5,17,-139,23,2321,-0.9,1.1,0.2,0,
,3:52.21 am,simulated,7,5,16,130,136,2561,-0.7,1.1,0.2,0,
,3:52.22 am,simulated,8,3,17,477,-168,2499,0,1.1,0.2,0.1,
,3:52.23 am,simulated,9,5,16,66,-189,2512,0.8,1.1,0.2,0,
,3:52.24 am,simulated,10,5,18,-191,-77,2428,0.7,1.1,0.2,0,

Feb 10 2026,M2 R9 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:50.46 am,sighter/simulated,S1,5,16,-188,39,2489,-0.4,1.1,0.2,0,
,3:50.47 am,sighter/simulated,S2,5,16,-121,123,2481,0.3,1.2,0.6,0,
,3:50.48 am,simulated,1,5,18,-174,114,2488,0.6,1.1,0.2,0,
,3:50.48 am,simulated,2,5,19,-62,169,2451,0.3,1.2,0.2,0,
,3:50.49 am,simulated,3,5,16,143,133,2541,-0.5,1.1,0.2,0,
,3:50.50 am,simulated,4,5,16,73,156,2581,0.3,1.2,0.2,0,
,3:50.51 am,simulated,5,5,19,197,12,2441,0.6,1.2,0.2,0,
,3:50.52 am,simulated,6,5,19,185,-94,2503,0,1.1,0.2,0,
,3:50.53 am,simulated,7,5,16,46,-169,2420,0,1.1,0.2,0,
,3:50.55 am,simulated,8,5,19,-114,-169,2349,0.2,1.1,0.2,0,
,3:50.56 am,simulated,9,5,17,-169,-56,2478,-0.8,1.1,0.2,0,
,3:50.57 am,simulated,10,5,19,-31,-167,2461,-0.7,1.1,0.2,0,

Feb 10 2026,M2 R7 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:50.19 am,sighter/simulated,S1,X,17,2,9,2494,-0.1,1.1,0.2,0,
,3:50.21 am,sighter/simulated,S2,X,20,-14,-4,2517,-0.2,1.2,0.2,0,
,3:50.22 am,simulated,1,X,19,18,-16,2613,0.5,1.1,0.2,0,
,3:50.23 am,simulated,2,X,19,28,14,2482,1.1,1.2,0.2,0,
,3:50.24 am,simulated,3,X,17,-37,24,2306,-0.3,1.1,0.2,0,
,3:50.25 am,simulated,4,X,17,-4,37,2303,0.7,1.1,0.2,0,
,3:50.26 am,simulated,5,X,15,-4,-27,2546,-0.4,1.2,0.2,0,
,3:50.27 am,simulated,6,X,19,-39,-9,2474,-0.4,1.2,0.2,0,
,3:50.28 am,simulated,7,X,18,19,30,2589,0.7,1.2,0.2,0,
,3:50.29 am,simulated,8,X,15,-12,19,2440,-0.9,1.1,0.2,0,
,3:50.30 am,simulated,9,X,16,18,2,2341,1,1.1,0.2,0,
,3:50.32 am,simulated,10,X,18,2,-9,2532,0.6,1.1,0.2,0,

Feb 10 2026,M2 R8 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:49.48 am,sighter/simulated,S1,5,17,-31,158,2611,0,1.1,0.2,0,
,3:49.49 am,sighter/simulated,S2,5,16,186,-30,2366,-0.6,1.1,0.2,0,
,3:49.50 am,simulated,1,X,16,-18,-27,2324,0.5,1.2,0.2,0,
,3:49.51 am,simulated,2,X,19,46,27,2360,-0.5,1.1,0.2,0,
,3:49.52 am,simulated,3,6,16,-62,42,2576,-0.2,1.2,0.2,0,
,3:49.53 am,simulated,4,6,18,72,-73,2493,0,1.2,0.2,0,
,3:49.54 am,simulated,5,5,20,139,128,2299,-0.6,1.1,0.2,0,
,3:49.56 am,simulated,6,4,19,314,211,2345,-1,1.1,0.2,0,
