ShotMarker Archived Data (generated Mar 02 2026)
Exported 2 strings from Mar 02 of 3024 total in archive

Mar 02 2026,Angus,#4 (4-E1),2258 x 1721,ICFRA-2008 F-Class Long Range at 900m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,1:43.45 pm,sighter/simulated,S1,5,16,-40,210,2448,0.5,1.1,0.6,0,
,1:43.46 pm,sighter/simulated,S2,4,16,288,141,2445,0.4,1.1,0.6,0,
,1:43.47 pm,sighter/simulated,S3,5,20,-162,-6,2438,-0.3,1.1,0.2,0,
,1:43.48 pm,sighter/simulated,S4,5,17,144,-53,2351,-0.3,1.2,0.2,0,
,1:43.49 pm,sighter/simulated,S5,X,18,3,10,2372,0.3,1.1,0.6,0,
,1:43.50 pm,sighter/simulated,S6,6,18,73,93,2603,-0.8,1.1,0.2,0,
,1:43.52 pm,simulated,1,6,19,-62,-76,2512,0.8,1.1,0.2,0,
,1:43.53 pm,simulated,2,6,19,-70,97,2326,1.1,1.1,0.2,0,
,1:43.54 pm,simulated,3,4,17,261,36,2477,-1,1.1,0.2,0,
,1:43.55 pm,simulated,4,5,20,29,-190,2444,-0.7,1.1,0.6,0,
,1:43.56 pm,simulated,5,5,16,96,165,2338,-0.4,1.2,0.2,0,
,1:43.56 pm,simulated,6,5,17,-149,61,2360,0.1,1.1,0.2,0,
,1:43.58 pm,simulated,7,5,17,89,-166,2587,-1.1,1.1,0.6,0,
,1:43.59 pm,simulated,8,5,18,186,-7,2525,0.7,1.2,0.6,0,
,1:43.59 pm,simulated,9,5,18,-142,-8,2593,0.2,1.1,0.2,0,
,1:44.00 pm,simulated,10,5,19,-60,-125,2423,-0.6,1.1,0.2,0,
,1:44.01 pm,simulated,11,6,17,81,4,2418,0.5,1.1,0.2,0,
,1:44.03 pm,simulated,12,5,16,-156,15,2436,0.7,1.1,0.2,0,
,1:44.23 pm,simulated,13,5,16,217,-113,2584,1.1,1.1,0.2,0,
,1:44.24 pm,simulated,14,4,16,-188,194,2530,0.9,1.1,0.6,0,
,1:44.25 pm,simulated,15,5,18,190,128,2484,0.3,1.1,0.2,0,

Mar 02 2026,Adrian,#2 (2-D9),2258 x 1721,ICFRA Target Rifle 300m at 300m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,1:42.50 pm,sighter/simulated,S1,V,18,-2,1,2351,0.6,1.1,0.2,0,
,1:42.52 pm,sighter/simulated,S2,4,16,45,102,2357,-0.7,1.1,0.6,0,
,1:42.53 pm,sighter/simulated,S3,3,20,-108,109,2424,0.6,1.1,0.6,0,
,1:42.54 pm,sighter/simulated,S4,3,19,181,17,2476,0,1.1,0.6,0,
,1:42.55 pm,sighter/simulated,S5,4,16,-86,-72,2491,0.9,1.1,0.6,0,
,1:42.56 pm,sighter/simulated,S6,3,16,99,-109,2542,-0.5,1.1,0.2,0,
,1:42.56 pm,sighter/simulated,S7,4,19,127,50,2454,0.1,1.1,0.2,0,
,1:42.57 pm,sighter/simulated,S8,5,17,-52,43,2334,1.1,1.2,0.2,0,
,1:42.58 pm,sighter/simulated,S9,4,18,-9,102,2301,-0.1,1.2,0.2,0,
,1:42.59 pm,sighter/simulated,S10,4,16,37,-89,2494,0.5,1.2,0.2,0,
,1:43.00 pm,sighter/simulated,S11,4,15,111,-32,2402,0.5,1.1,0.2,0,
,1:43.00 pm,sighter/simulated,S12,4,19,-124,12,2329,0.3,1.1,0.2,0,
,1:43.01 pm,sighter/simulated,S13,4,19,75,52,2359,0.5,1.1,0.2,0,
,1:43.02 pm,sighter/simulated,S14,5,16,-15,-49,2511,-0.6,1.1,0.6,0,
,1:43.03 pm,sighter/simulated,S15,4,18,-133,21,2370,0.4,1.1,0.2,0,
,1:43.04 pm,sighter/simulated,S16,4,18,84,3,2432,1,1.1,0.2,0,
,1:43.07 pm,simulated,1,V,17,0,32,2477,0.6,1.1,0.6,0,
,1:43.08 pm,simulated,2,V,15,-36,10,2601,-0.4,1.1,0.6,0,
,1:43.09 pm,simulated,3,V,19,36,2,2563,-0.6,1.1,0.2,0,
,1:43.10 pm,simulated,4,V,17,17,-23,2580,-0.6,1.2,0.2,0,
,1:43.11 pm,simulated,5,5,15,37,53,2620,-1.1,1.1,0.2,0,
,1:43.12 pm,simulated,6,4,18,-60,100,2603,-1.1,1.2,0.2,0,
,1:43.13 pm,simulated,7,5,16,-70,-16,2581,-1.1,1.1,0.6,0,
,1:43.14 pm,simulated,8,5,16,67,-18,2499,-0.8,1.1,0.2,0,
,1:43.14 pm,simulated,9,4,19,56,67,2458,0.1,1.2,0.2,0,
,1:43.16 pm,simulated,10,4,18,-31,-78,2365,-0.9,1.1,0.2,0,
,1:43.17 pm,simulated,11,5,17,42,-59,2432,-0.1,1.1,0.2,0,
,1:43.18 pm,simulated,12,V,19,30,3,2551,-0.7,1.1,0.6,0,
,1:43.19 pm,simulated,13,5,16,-60,23,2433,-0.1,1.1,0.6,0,
,1:43.20 pm,simulated,14,4,16,73,30,2526,-0.2,1.1,0.2,0,
,1:43.21 pm,simulated,15,5,18,-4,66,2547,-0.1,1.1,0.2,0,
